	body	title
0	We are a Silicon Valley startup that designed a machine learning algorithm to find the best deals of the internet and provide it onto one platform.The products on our website are at the lowest possible price. Come check us out!	xDeals: A Silicon Valley Startup that finds the best deals online using ML
1	Looking for the best deals of the internet? We use machine learning algorithms to find the best deals of the internet and combine it all on this one website! Come check out xDeals!	xDeals: Online shopping reinvented
